observed_at,route_id,source,origin,destination,depart_date,return_date,seats,total_price,currency,carrier,stops,booking_url,fare_notes
2026-08-31T16:52:28Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,6,3327.00,USD,American,2,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUABQAJAAkACQAJAA0gBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:28Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,6,3459.00,USD,American,1,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUABQAJAAkACQAJAA0gBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:28Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,6,12525.00,USD,Delta,1,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUABQAJAAkACQAJAA0gBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:28Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,6,3327.00,USD,American,2,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUABQAJAAkACQAJAA0gBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:28Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,6,3603.00,USD,American,2,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUABQAJAAkACQAJAA0gBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:28Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,6,5307.00,USD,American,2,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUABQAJAAkACQAJAA0gBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:28Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,6,6567.00,USD,American,1,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUABQAJAAkACQAJAA0gBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:28Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,6,7725.00,USD,American,1,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUABQAJAAkACQAJAA0gBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:28Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,6,9220.00,USD,United,1,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUABQAJAAkACQAJAA0gBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:28Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,6,9723.00,USD,Southwest,2,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUABQAJAAkACQAJAA0gBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:28Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,6,11703.00,USD,Southwest,2,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUABQAJAAkACQAJAA0gBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:28Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,6,20882.00,USD,United,1,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUABQAJAAkACQAJAA0gBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:28Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,6,25737.00,USD,United,2,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUABQAJAAkACQAJAA0gBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:35Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,1,554.00,USD,American,2,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUgBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:35Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,1,576.00,USD,American,1,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUgBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:35Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,1,1094.00,USD,American,1,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUgBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:35Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,1,554.00,USD,American,2,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUgBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:35Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,1,600.00,USD,American,2,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUgBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:35Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,1,660.00,USD,American,2,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUgBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:35Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,1,752.00,USD,American,2,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUgBcAGYAQE&tfu=EgIIAQ,
2026-08-31T16:52:35Z,dsm-stt-spring,serpapi,DSM,STT,2027-03-14,2027-03-21,1,1195.00,USD,American,1,https://www.google.com/travel/flights?hl=en&gl=us&curr=USD&tfs=CBwQAhoeEgoyMDI3LTAzLTE0agcIARIDRFNNcgcIARIDU1RUGh4SCjIwMjctMDMtMjFqBwgBEgNTVFRyBwgBEgNEU01AAUgBcAGYAQE&tfu=EgIIAQ,
