observed_at,source,route_id,searches
2026-08-31T16:52:16Z,serpapi,dsm-stt-spring,2
2026-08-31T16:52:16Z,travelpayouts,dsm-stt-spring,1
2026-08-31T16:52:16Z,travelpayouts,dsm-den-flex,1
2026-08-31T16:56:47Z,travelpayouts,dsm-den-flex,1
2026-08-31T16:59:03Z,travelpayouts,dsm-den-flex,1
2026-08-31T17:00:42Z,serpapi,dsm-den-flex,4
2026-08-31T17:00:42Z,travelpayouts,dsm-den-flex,1
2026-08-31T19:18:11Z,serpapi,survey,23
2026-08-31T19:25:13Z,serpapi,survey,33
2026-08-31T19:34:59Z,serpapi,dsm-stt-january,5
2026-08-31T19:34:59Z,travelpayouts,dsm-stt-january,1
2026-08-31T19:42:25Z,serpapi,survey,25
2026-08-31T19:53:27Z,serpapi,survey,31
2026-08-31T19:57:07Z,serpapi,survey,9
2026-08-31T20:13:47Z,serpapi,survey,31
2026-08-31T20:17:57Z,serpapi,survey,31
